"Interview_difficulty","Interview_experience","Offer","Company_name","Referral","process_time","sector"
"Difficult Interview","Negative Experience","No Offer","Capital one","Recruiter",60,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Online",90,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Online",7,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Recruiter",1,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Employee Referral",14,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Online",1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Recruiter",21,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Online",28,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Online",21,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Online",14,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",60,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","Employee Referral",49,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","Employee Referral",NA,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one",NA,1,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",60,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","Online",4,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","In-Person",21,"Banking"
"Average Interview","Positive Experience","Offer","Capital one",NA,NA,"Banking"
"Average Interview","Neutral Experience","Offer","Capital one","Employee Referral",7,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","College Or University",3,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Recruiter",1,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Online",28,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",21,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Employee Referral",NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Recruiter",5,"Banking"
"Average Interview","Positive Experience","Offer","Capital one",NA,NA,"Banking"
"Easy Interview","Negative Experience","No Offer","Capital one","Online",NA,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","Recruiter",28,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","Online",14,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","Online",60,"Banking"
"Average Interview","Neutral Experience","Offer","Capital one","Employee Referral",28,"Banking"
"Average Interview",NA,"Offer","Capital one","Online",2,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one",NA,1,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",14,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","College Or University",14,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Online",28,"Banking"
"Difficult Interview",NA,"Offer","Capital one","Online",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Online",1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Online",NA,"Banking"
"Easy Interview","Positive Experience","No Offer","Capital one","Employee Referral",1,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","Online",60,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","Recruiter",NA,"Banking"
"Easy Interview","Neutral Experience","No Offer","Capital one","College Or University",1,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Recruiter",28,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",21,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",5,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",28,"Banking"
NA,"Neutral Experience","No Offer","Capital one","Online",42,"Banking"
"Average Interview","Neutral Experience","Offer","Capital one","Online",1,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",28,"Banking"
"Average Interview","Neutral Experience","Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",21,"Banking"
"Easy Interview","Neutral Experience","No Offer","Capital one",NA,3,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","Employee Referral",14,"Banking"
NA,"Positive Experience","Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",28,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",14,"Banking"
"Easy Interview","Neutral Experience","No Offer","Capital one","College Or University",2,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","Online",1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Recruiter",60,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",1,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",NA,"Banking"
"Easy Interview","Positive Experience","No Offer","Capital one","College Or University",3,"Banking"
NA,NA,"No Offer","Capital one",NA,NA,"Banking"
NA,NA,"No Offer","Capital one","Online",14,"Banking"
NA,NA,"No Offer","Capital one","Online",14,"Banking"
NA,NA,"No Offer","Capital one",NA,NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","Online",28,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one",NA,NA,"Banking"
NA,"Positive Experience","No Offer","Capital one","Online",14,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one",NA,14,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Online",14,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Online",7,"Banking"
NA,"Positive Experience","Offer","Capital one",NA,NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",28,"Banking"
"Easy Interview","Positive Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one",NA,NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Recruiter",21,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",NA,"Banking"
NA,"Positive Experience","Offer","Capital one",NA,NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",1,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Easy Interview","Neutral Experience","No Offer","Capital one","Online",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",NA,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","Online",14,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Online",3,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","Online",14,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Online",21,"Banking"
"Average Interview","Negative Experience","Offer","Capital one","In-Person",1,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Online",14,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","Online",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",14,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","College Or University",21,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",28,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","Online",28,"Banking"
"Average Interview","Negative Experience","Offer","Capital one","Recruiter",60,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","Employee Referral",14,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","College Or University",2,"Banking"
"Average Interview",NA,"No Offer","Capital one","College Or University",7,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","College Or University",14,"Banking"
NA,NA,"No Offer","Capital one",NA,NA,"Banking"
"Easy Interview","Negative Experience","No Offer","Capital one",NA,60,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Recruiter",14,"Banking"
"Average Interview",NA,"No Offer","Capital one","College Or University",14,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","College Or University",3,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one",NA,3,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",21,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one",NA,1,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",2,"Banking"
"Easy Interview","Positive Experience","No Offer","Capital one","College Or University",14,"Banking"
"Average Interview",NA,"No Offer","Capital one","College Or University",14,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",14,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","College Or University",1,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","In-Person",28,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",28,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one",NA,NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",28,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","Online",NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","Other Source",14,"Banking"
NA,"Positive Experience","No Offer","Capital one",NA,NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",60,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","Online",90,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one",NA,1,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one",NA,1,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one",NA,14,"Banking"
NA,"Neutral Experience","No Offer","Capital one",NA,NA,"Banking"
"Easy Interview","Neutral Experience","Offer","Capital one","Online",3,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","In-Person",NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","In-Person",1,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one",NA,NA,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one",NA,2,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","College Or University",56,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",28,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Easy Interview","Positive Experience","No Offer","Capital one","Employee Referral",28,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","College Or University",14,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","College Or University",28,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Online",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one",NA,60,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",21,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one",NA,5,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one",NA,1,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one",NA,14,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Online",1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",14,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","College Or University",3,"Banking"
"Easy Interview","Neutral Experience","No Offer","Capital one","Online",1,"Banking"
"Average Interview","Neutral Experience","Offer","Capital one",NA,14,"Banking"
NA,NA,"No Offer","Capital one",NA,NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Employee Referral",21,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","Employee Referral",NA,"Banking"
"Average Interview",NA,"No Offer","Capital one",NA,NA,"Banking"
"Average Interview","Neutral Experience","Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Online",1,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",1,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",3,"Banking"
"Average Interview","Neutral Experience","Offer","Capital one","Online",1,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","College Or University",1,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","College Or University",14,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","College Or University",1,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","College Or University",7,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","College Or University",2,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","Recruiter",1,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","College Or University",90,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",14,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Online",60,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Staffing Agency",42,"Banking"
"Average Interview","Negative Experience","Offer","Capital one","Online",2,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one",NA,1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",2,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","Employee Referral",180,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","Online",28,"Banking"
NA,NA,"No Offer","Capital one","College Or University",21,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","College Or University",21,"Banking"
NA,NA,"No Offer","Capital one","Online",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Online",60,"Banking"
"Difficult Interview",NA,"No Offer","Capital one","College Or University",3,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Employee Referral",42,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Online",35,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one",NA,28,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one",NA,21,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",1,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one",NA,3,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one",NA,28,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",21,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","College Or University",1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",1,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","College Or University",21,"Banking"
"Average Interview","Positive Experience","Offer","Capital one",NA,2,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",14,"Banking"
"Average Interview","Positive Experience","Offer","Capital one",NA,28,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","Recruiter",14,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one",NA,NA,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",21,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one",NA,14,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",1,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","College Or University",60,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",NA,"Banking"
NA,NA,"No Offer","Capital one","College Or University",14,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","College Or University",28,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one",NA,35,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",14,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one",NA,1,"Banking"
"Average Interview","Positive Experience","Offer","Capital one",NA,14,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one",NA,21,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","Online",1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",14,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",21,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",NA,"Banking"
"Difficult Interview",NA,"Offer","Capital one","Online",60,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",1,"Banking"
NA,NA,"No Offer","Capital one",NA,2,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","College Or University",60,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",NA,"Banking"
NA,"Neutral Experience","Offer","Capital one","Online",3,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Online",5,"Banking"
"Average Interview","Neutral Experience","Offer","Capital one",NA,NA,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","Online",NA,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","Online",21,"Banking"
NA,NA,"Offer","Capital one",NA,NA,"Banking"
"Easy Interview","Negative Experience","Offer","Capital one","College Or University",1,"Banking"
NA,NA,"No Offer","Capital one","College Or University",NA,"Banking"
"Average Interview",NA,"No Offer","Capital one","Other Source",1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Recruiter",28,"Banking"
NA,NA,"No Offer","Capital one","College Or University",1,"Banking"
NA,NA,"No Offer","Capital one",NA,NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",1,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one",NA,NA,"Banking"
NA,NA,"No Offer","Capital one",NA,NA,"Banking"
"Easy Interview","Positive Experience","No Offer","Capital one","Employee Referral",NA,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one",NA,60,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Online",1,"Banking"
NA,NA,"No Offer","Capital one","College Or University",NA,"Banking"
NA,NA,"No Offer","Capital one","Online",NA,"Banking"
"Average Interview",NA,"No Offer","Capital one","College Or University",NA,"Banking"
NA,NA,"No Offer","Capital one",NA,NA,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","Online",28,"Banking"
"Average Interview",NA,"No Offer","Capital one","Recruiter",NA,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","Employee Referral",28,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Online",60,"Banking"
"Easy Interview","Positive Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Online",2,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Employee Referral",14,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Online",14,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Online",14,"Banking"
NA,NA,"No Offer","Capital one",NA,NA,"Banking"
NA,NA,"No Offer","Capital one",NA,NA,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",14,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Online",28,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","College Or University",28,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Employee Referral",NA,"Banking"
"Average Interview",NA,"No Offer","Capital one","College Or University",3,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Online",21,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Online",28,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Online",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",1,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Online",NA,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Recruiter",28,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Recruiter",21,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","Employee Referral",35,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Recruiter",28,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","Recruiter",28,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Easy Interview",NA,"No Offer","Capital one","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",28,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Online",14,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Recruiter",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Other Source",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Online",1,"Banking"
"Average Interview",NA,"No Offer","Capital one","Online",14,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","Recruiter",120,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",28,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","College Or University",1,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",1,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",1,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",2,"Banking"
"Difficult Interview","Neutral Experience","Offer","Capital one","Employee Referral",2,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","Online",1,"Banking"
NA,"Positive Experience","Offer","Capital one","Online",NA,"Banking"
"Easy Interview","Negative Experience","No Offer","Capital one","Online",NA,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",21,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one",NA,NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",60,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","Online",NA,"Banking"
NA,NA,"No Offer","Capital one","College Or University",NA,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","College Or University",1,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one",NA,1,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",2,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",14,"Banking"
"Easy Interview","Positive Experience","No Offer","Capital one","College Or University",14,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","College Or University",14,"Banking"
NA,"Neutral Experience","No Offer","Capital one","Employee Referral",60,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",21,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Recruiter",NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Recruiter",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Recruiter",3,"Banking"
"Difficult Interview","Positive Experience","Offer","Capital one","Online",60,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","College Or University",1,"Banking"
"Easy Interview","Positive Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","College Or University",14,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",7,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Online",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","College Or University",21,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",21,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Online",1,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Recruiter",14,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Employee Referral",14,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Online",2,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one",NA,14,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",1,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Online",21,"Banking"
NA,"Positive Experience","Offer","Capital one",NA,21,"Banking"
"Average Interview","Positive Experience","Offer","Capital one",NA,NA,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","College Or University",14,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one",NA,NA,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","Employee Referral",60,"Banking"
"Easy Interview","Positive Experience","No Offer","Capital one","College Or University",1,"Banking"
"Easy Interview","Negative Experience","No Offer","Capital one","Online",1,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","Online",NA,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Easy Interview","Negative Experience","No Offer","Capital one","Employee Referral",NA,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Recruiter",NA,"Banking"
"Average Interview","Negative Experience","No Offer","Capital one","Online",90,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Online",14,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","Employee Referral",7,"Banking"
"Easy Interview","Negative Experience","No Offer","Capital one","Online",2,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Capital one","Online",14,"Banking"
"Easy Interview","Neutral Experience","Offer","Capital one",NA,1,"Banking"
"Average Interview","Neutral Experience","Offer","Capital one","Employee Referral",60,"Banking"
"Easy Interview","Positive Experience","No Offer","Capital one","College Or University",14,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",14,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Employee Referral",21,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","Online",14,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",1,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",7,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",1,"Banking"
"Average Interview","Positive Experience","No Offer","Capital one","College Or University",1,"Banking"
"Easy Interview","Positive Experience","No Offer","Capital one","Online",1,"Banking"
NA,"Neutral Experience","No Offer","Capital one","Recruiter",14,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","College Or University",NA,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Employee Referral",28,"Banking"
"Average Interview","Neutral Experience","No Offer","Capital one","Employee Referral",90,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Employee Referral",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","College Or University",1,"Banking"
"Difficult Interview","Negative Experience","No Offer","Capital one","College Or University",14,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","Recruiter",1,"Banking"
"Easy Interview","Positive Experience","Offer","Capital one","Recruiter",21,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",3,"Banking"
"Average Interview","Positive Experience","Offer","Capital one","College Or University",14,"Banking"
"Difficult Interview","Positive Experience","No Offer","Capital one","College Or University",NA,"Banking"
